uniquecode,received
ABCDE11111,2020-01-09 20:00:00
ABCDE11112,2020-01-09 20:00:00
ABCDE11113,2020-01-09 20:00:00
ABCDE11114,2020-01-09 20:00:00
ABCDE11115,2020-01-09 20:00:00
ABCDE11116,2020-01-09 20:00:00
ABCDE11117,2020-01-09 20:00:00
ABCDE11118,2020-01-09 20:00:00
ABCDE11119,2020-01-09 20:00:00
ABCDE11120,2020-01-09 20:00:00
ABCDE11121,2020-01-09 20:00:00
ABCDE11122,2020-01-09 20:00:00
ABCDE11123,2020-01-09 20:00:00
ABCDE11124,2020-01-09 20:00:00
ABCDE11125,2020-01-09 20:00:00
ABCDE11126,2020-01-09 20:00:00
ABCDE11127,2020-01-09 20:00:00
ABCDE11128,2020-01-09 20:00:00
ABCDE11129,2020-01-09 20:00:00
ABCDE11130,2020-01-09 20:00:00
ABCDE11131,2020-01-09 20:00:00
ABCDE11132,2020-01-09 20:00:00
ABCDE11133,2020-01-09 20:00:00
ABCDE11134,2020-01-09 20:00:00
ABCDE11135,2020-01-09 20:00:00
ABCDE11136,2020-01-09 20:00:00
ABCDE11137,2020-01-09 20:00:00
ABCDE11138,2020-01-09 20:00:00
ABCDE11139,2020-01-09 20:00:00
ABCDE11140,2020-01-09 20:00:00
ABCDE11141,2020-01-09 20:00:00
ABCDE11142,2020-01-09 20:00:00
ABCDE11143,2020-01-09 20:00:00
ABCDE11144,2020-01-09 20:00:00
ABCDE11145,2020-01-09 20:00:00
ABCDE11146,2020-01-09 20:00:00
ABCDE11147,2020-01-09 20:00:00
ABCDE11148,2020-01-09 20:00:00
ABCDE11149,2020-01-09 20:00:00
ABCDE11150,2020-01-09 20:00:00
ABCDE11151,2020-01-09 20:00:00
ABCDE11152,2020-01-09 20:00:00
ABCDE11153,2020-01-09 20:00:00
ABCDE11154,2020-01-09 20:00:00
ABCDE11155,2020-01-09 20:00:00
ABCDE11156,2020-01-09 20:00:00
ABCDE11157,2020-01-09 20:00:00
ABCDE11158,2020-01-09 20:00:00
ABCDE11159,2020-01-09 20:00:00
